id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Oda;Mohr;Trudie_Dach@yahoo.com;attribute;2024-09-25T07:46:56;22950;7230
2;Leonora;Deckow;Liana72@yahoo.com;customise brace;2024-09-24T14:46:44;1823;8981
3;Sydnie;Hagenes;Hadley42@hotmail.com;government since how;2024-09-25T10:13:42;3862;4196
4;Dedrick;Vandervort;Rocky_Windler48@gmail.com;chasuble bin;2024-09-24T23:09:06;3758;13024
5;Braden;Prosacco;Idella.Harber@yahoo.com;airbrush during;2024-09-25T03:24:56;5719;31950
6;Blanche;Jast;Victoria84@gmail.com;slake;2024-09-25T09:53:13;4079;31125
7;Efrain;Schinner;Jayden.Carter39@yahoo.com;er impractical;2024-09-25T00:32:20;11354;31911
8;Eugenia;Waelchi;Dessie_Stanton85@gmail.com;vainly ack;2024-09-24T14:29:38;29325;31944
9;Jude;Adams;Alycia.Legros@yahoo.com;needy oof pish;2024-09-25T09:03:03;10580;4727
10;Alessandro;Little;Andy_Barrows@yahoo.com;gah duh what;2024-09-24T23:57:52;20974;15791
